marine climate,"A climate dominated by the ocean, because of the moderating effect of water, sites having this climate are considered relatively mild."
maritime air mass,An air mass that originates over the ocean. These air masses are relatively humid.
maritime polar,"Cool, humid air mass that forms over the cold ocean waters of the North Pacific and North Atlantic."
maritime tropical,"Warm, humid air mass that forms over tropical and subtropical oceans."
mature cyclone,
mature stage,
Maunder minimum,
MCC,
mean annual temperature,The average temperature at any given location for the entire year.
mean daily temperature,
medium-range forecast,
meridional flow,A type of atmospheric circulation pattern in which the meridional (north and south) component of motion is unusually pronounced.
mesocyclone,
mesoscale,"The scale of meteorological phenomena that ranges in size from a few km to about 100 km. It includes local winds, thunderstorms, and tornadoes."
Mesoscale Convective Complex,
mesoscale convective vortex,
mesosphere,The atmospheric layer between the stratosphere and the thermosphere. Located at an average elevation between 50 and 80 km above the earth's surface.
meteogram,
meteorology,"The study of the atmosphere and atmospheric phenomena as well as the atmosphere's interaction with the earth's surface, oceans, and life in general."
microburst,A strong localized downdraft less than 4 km wide that occurs beneath severe thunderstorms. A strong downdraft greater than 4 km across is called a downburst.
microclimate,The climate structure of the air space near the surface of the earth.
micrometer,"The micrometer, also commonly known as a micron, is an SI derived unit of length equaling one millionth of a meter."
microscale,The smallest scale of atmospheric motions.
mid-Holocene maximum,
mid-latitude cyclonic storm,"Any cyclonic-scale storm that is not a tropical cyclone, usually referring only to the migratory frontal cyclones of middle and high latitudes."
middle-latitude cyclonic storms,"Extratropical cyclones, sometimes called mid-latitude cyclones or wave cyclones, are low-pressure areas, which along with the anticyclones of high-pressure areas, drive the weather over much of the Earth. "
Milankovitch,
millibar,A unit for expressing atmospheric pressure. Sea level pressure is normally close to 1013 mb.
mirage,"A refraction phenomenon that makes an object appear to be displaced from its true position. When an object appears higher than it actually is, it is called a superior image. When an object appears lower than it actually is, it is an inferior mirage."
mist,Very thin fog in which visibility is greater than 1.0 km (0.62 mi).
mistral,A katabatic wind that flows from the Alps down the Rhone River Valley of France to the Mediterranean coast.
mixing ratio,The ratio of the mass of water vapor in a given volume of air to the mass of dry air.
moist adiabatic,The rate of change of temperature in a rising or descending saturated air parcel. The rate of cooling or warming varies but a common value of 6_C per 1000 m (3.3_F per 1000 ft) is used.
moist adiabatic rate,The rate of change of temperature in a rising or descending saturated air parcel. The rate of cooling or warming varies but a common value of 6_C per 1000 m (3.3_F per 1000 ft) is used.
molecular viscosity,"The small-scale internal fluid friction that is due to the random motion of the molecules within a smooth-flowing fluid, such as air."
monsoon,
monsoon wind system,
mountain and valley breeze,
mountain breeze,A local wind system of a mountain valley that blows downhill (mountain breeze) at night and uphill (valley breeze) during the day.
multi-vortex tornado,
multicell thunderstorm,
nacreous,"Clouds of unknown composition that have a soft, pearly luster and that form at altitudes about 25 to 30 km above the earth's surface. They are also called mother-of-pearl clouds."
NAO,
negative feedback mechanism,
neutral,A condition of a system for which a small perturbation of a parcel of the system causes it to neither depart from its new position nor return to its previous one.
neutral stability,A condition of a system for which a small perturbation of a parcel of the system causes it to neither depart from its new position nor return to its previous one.
NEXRAD,
nimbostratus,"A dark, gray cloud characterized by more or less continuously falling precipitation. It is not accompanied by lightning, thunder, or hail."
nimbostratus clouds,"A dark, gray cloud characterized by more or less continuously falling precipitation. It is not accompanied by lightning, thunder, or hail."
noctilucent clouds,"Wavy, thin, bluish-white clouds that are best seen at twilight in polar latitudes. They form at altitudes about 80 to 90 km above the surface."
nocturnal inversion,See Radiation inversion.
nonsupercell tornadoes,
North Atlantic Oscillation,
northeasters,
numerical weather prediction,
obliquity,
occluded fronts,
occlusion,
offshore breeze,A breeze that blows from the land out over the water. Opposite of an onshore breeze.
onshore breeze,A breeze that blows from the water onto the land. Opposite of an offshore breeze.
ordinary thunderstorm,
orographic precipitation,"Rainfall or snowfall from clouds, induced by topographic uplift."
orographic uplift,The lifting of air over a topographic barrier. Clouds that form in this lifting process are called orographic clouds.
outflow boundary,
overrunning,
overshooting top,
ozone,"Ozone  is an inorganic molecule with the chemical formula O<sub>3</sub>. It is a pale blue gas with a distinctively pungent smell. Ozone is formed from dioxygen by the action of ultraviolet light and also atmospheric electrical discharges, and is present in low concentrations throughout the Earth's atmosphere (stratosphere). In total, ozone makes up only 0.6 ppm of the atmosphere."
ozone hole,"Ozone depletion describes two distinct but related phenomena observed since the late 1970s: a steady decline of about four percent in the total amount of ozone in Earth's stratosphere (the ozone layer), and a much larger springtime decrease in stratospheric ozone around Earth's polar regions. The latter phenomenon is referred to as the ozone hole. "
Pacific air,
Pacific Decadal Oscillation (PDO),
Pacific high,
Palmer,Compares the actual amount of precipitation received in an area during a specified period with the normal or average amount expected during that same period.
Palmer Drought Severity Index,Compares the actual amount of precipitation received in an area during a specified period with the normal or average amount expected during that same period.
parcel of air,"A very small amount of air, identifiable throughout its dynamic history while moving within the atmosphere."
pattern recognition,
PDO,
permafrost,A layer of soil beneath the earth's surface that remains frozen throughout the year.
persistence forecast,
photodissociation,The splitting of a molecule by a photon.
photon,A discrete quantity of energy that can be thought of as a packet of electromagnetic radiation traveling at the speed of light.
photons,
pileus,"A smooth cloud in the form of a cap. Occurs above, or is attached to, the top of a cumuliform cloud."
pileus cloud,
pileus clouds,"Also called scarf cloud or cap cloud, is a small, horizontal, lenticular cloud that can appear above a cumulus or cumulonimbus cloud, giving the parent cloud a characteristic ""hoodlike"" appearance."
plate tectonics,
polar air mass,A cold air mass that forms in a high-latitude source region.
polar climates,Climates in which the mean temperature of the warmest month is below 10_C; climates that are too cold to support the growth of trees.
polar easterlies,
polar front,
polar front theory,
polar jet stream,
polar lows,
pollutants,"A pollutant is a substance or energy introduced into the environment that has undesired effects, or adversely affects the usefulness of a resource. A pollutant may cause long- or short-term damage by changing the growth rate of plant or animal species, or by interfering with human amenities, comfort, health, or property values."
positive feedback mechanism,
potential energy,The energy that a body possesses by virtue of its position with respect to other bodies in the field of gravity.
potential evapotranspiration,"The amount of moisture that, if it were available, would be removed from a given land area by evaporation and transpiration."
potential temperature,The temperature that a parcel of dry air would have if it were brought dry adiabatically from its original position to a pressure of 1000 mb.
precession,
precipitable water vapor,The depth of water that would result if all the vapor in the atmosphere above a location were condensed into liquid water.
precipitation,Any form of water particles-liquid or solid-that falls from the atmosphere and reaches the ground.
pressure,"Atmospheric pressure, sometimes also called barometric pressure, is the pressure exerted by the weight of air in the atmosphere of Earth (or that of another planet)."
pressure gradient,The rate of decrease (gradient) of pressure in space at a fixed time.
pressure gradient force,The force due to differences of pressure within a fluid mass.
prevailing wind,The wind direction most frequently observed during a given period.
probability forecast,A forecast of the probability of occurrence of one or more of a mutually exclusive set of weather conditions.
prognostic chart,
psychrometer,"An instrument used to measure the water vapor content of the air. It consists of two thermometers (dry bulb and wet bulb). After whirling the instrument, the dew point and relative humidity can be obtained with the aid of tables."
pyranometer,An instrument that measures the amount of radiation.
radar,An instrument useful for remote sensing of meteorological phenomena. It operates by sending radio waves and monitoring those returned by such reflecting objects as raindrops within clouds.
radiant energy,"Energy propagated in the form of electromagnetic waves. These waves do not need molecules to propagate them, and in a vacuum they travel at nearly 300,000 km per sec."
radiant energy (radiation),
radiation,"Energy propagated in the form of electromagnetic waves. These waves do not need molecules to propagate them, and in a vacuum they travel at nearly 300,000 km per sec."
radiation fog,Fog produced over land when radiational cooling reduces the air temperature to or below its dew point. It is also known as ground fog and valley fog.
radiation inversion,An increase in temperature with height due to radiational cooling of the earth's surface. Also called a nocturnal inversion.
radiational cooling,"Image result for radiational cooling definition
Radiative cooling is the process by which a body loses heat by thermal radiation."
radiative equilibrium temperature,
radiative forcing,
radiative forcing agents,
radiosonde,"A balloon-borne instrument that measures and transmits pressure, temperature, and humidity to a ground-based receiving station."
rain,Precipitation in the form of liquid water drops that have diameters greater than that of drizzle.
rain gage,A device-usually a cylindrical container-for measuring rain-fall.
rain shadow,The region on the leeside of a mountain where the precipitation is noticeable less than on the windward side.
rain shower,A brief period of rainfall in which intensity can be variable and may change rapidly.
rawinsonde,"An instrument carried by weather balloons to measure the temperature, humidity, pressure, and winds of the atmosphere."
reflected,The process whereby a surface turns back a portion of the radiation that strikes it.
reflection,The process whereby a surface turns back a portion of the radiation that strikes it.
refraction,The bending of light as it passes from one medium to another
refractive index,The ratio of the speed of light in a vacuum to its speed in a transparent medium.
relative humidity,The ratio of the amount of water vapor actually in the air compared to the amount of water vapor the air can hold at the particular temperature and pressure. The ratio of the air's actual vapor pressure to its saturation vapor pressure.
return stroke,
RH,Relative humidity - The ratio of the amount of water vapor actually in the air compared to the amount of water vapor the air can hold at the particular temperature and pressure. The ratio of the air's actual vapor pressure to its saturation vapor pressure.
ribbon lightning,
ridges,"In meteorology, an elongated area of relatively high atmospheric pressure, almost always associated with and most clearly identified as an area of maximum anticyclonic curvature of wind flow."
rime,"A white, granular deposit of ice formed by the freezing of water drops when they come in contact with an object."
rime ice,
roll cloud,
rotor clouds,"A turbulent, altocumulus-type cloud formation found in the lee of some large mountain barriers, particularly in the Sierra Nevada near Bishop, California."
Saffir-Simpson scale,
Santa Ana,The local name given a foehn wind in southern California.
Santa Ana wind,
saturation,Holding as much water or moisture as can be absorbed.
saturation vapor pressure,The maximum amount of water vapor necessary to keep moist air in equilibrium with a surface of pure water or ice. It represents the maximum amount of water vapor that the air can hold at any given temperature and pressure. (See Equilibrium vapor pressure.)
scales of motion,
scattering,The process by which small particles in the atmosphere deflect radiation from its path into different directions.
scintillation,The apparent twinkling of a star due to its light passing through regions of differing air densities in the atmosphere.
sea breeze,A coastal local wind that blows from the ocean onto the land. The leading edge of the breeze is termed a sea breeze front.
sea breeze front,
sea level pressure,"TThe atmospheric pressure at mean sea level, either directly measured or, most commonly, empirically determined from the observed station pressure."
sea-level pressure,"The atmospheric pressure at mean sea level, either directly measured or, most commonly, empirically determined from the observed station pressure."
secondary low,
seiches,
selective absorbers,"In the Earth's atmosphere, we usually deal with two types of selective absorbers: gases that absorb UV (ultraviolet) radiation, such as ozone, and gases that absorb IR (infrared) radiation, such as water vapor and CO2."
semiarid,See Steppe.
semipermanent high,
semipermanent lows,
sensible heat,Movement of heat from one place to another as a consequence of conduction or convection or both.
sensible heat transfer,
sensible temperature,The sensation of temperature that the human body feels in contrast to the actual temperature of the environment as measured with a thermometer.
severe thunderstorm,"A thunderstorm is classed as severe if winds reach at least 93 kilometres per hour (58 mph), hail is 1 inch (25 mm) in diameter or larger, or if funnel clouds or tornadoes are reported."
shear,See wind shear.
sheet lightning,A fairly bright lightning flash from distant thunderstorms that illuminates a portion of the cloud.
shelf cloud,
short-range forecast,
shortwave,
shortwave radiation,"A term most often used to describe the radiant energy emitted from the sun, in the visible and near ultraviolet wavelengths."
shower,"Intermittent precipitation from a cumuliform cloud, usually of short duration but often heavy."
Siberian high,
simoom,
sleet,A type of precipitation consisting of transparent pellets of ice 5 mm or less in diameter. Same as ice pellets.
smog,"Originally smog meant a mixture of smoke and fog. Today, smog means air that has restricted visibility due to pollution, or pollution formed in the presence of sunlight-photochemical smog."
snow,Solid precipitation in the form of minute ice flakes that occur below 0_C.
snow flurries,Light showers of snow that fall intermittently.
snow grains,"Precipitation in the form of very small, opaque grains of ice. The solid equivalent of drizzle."
snow pellets,"White, opaque, approximately round ice particles between 2 and 5 mm in diameter that form in a cloud either from the sticking together of ice crystals or from the process of accretion."
snow rollers,A cylindrical spiral of snow shaped somewhat like a child's muff and produced by the wind.
snow squall,An intermittent heavy shower of snow that greatly reduces visibility.
snow-albedo feedback,
snowflake,An aggregate of ice crystals that falls from a cloud
solstice,"Either of the two times of the year when the sun is the greatest distance from the celestial equator, occurring about June 22 and December 22. See winter solstice and summer solstice."
sonic boom,
soundings,
source regions,
Southern Oscillation,The reversal of surface air pressure at opposite ends of the tropical Pacific Ocean that occur during El Nino events.
specific heat,The ratio of the heat absorbed (or released) by the unit mass of the system to the corresponding temperature rise (or fall).
specific humidity,The ratio of the mass of water vapor in a given parcel to the total mass of air in the parcel.
spontaneous nucleation,The freezing of pure water without the benefit of any nuclei.
spring freeze date,The date of occurrence in the spring of the last minimum at or below a temperature threshold.
squall line,Any nonfrontal line or band of active thunderstorms.
St. Elmo's Fire,
station pressure,The actual air pressure computed at the observing station.
stationary front,
statistical forecast,
steady-state forecast,
steam fog,See Evaporation fog.
steppe,One of the two types of dry climate. A marginal and more humid variant of the desert that separates it from bordering humid climates. Steppe also refers to the short-grass vegetation associated with this semiarid climate.
stepped leader,
storm surge,"An abnormal rise of the sea along a shore. Primarily due to the winds of a storm, especially a hurricane."
straight-line wind,
straight-line winds,
stratocumulus,"A low cloud, predominantly stratiform with low, lumpy, rounded masses, often with blue sky between them."
stratocumulus clouds,"A low cloud, predominantly stratiform with low, lumpy, rounded masses, often with blue sky between them."
stratopause,The boundary between the stratosphere and the mesosphere.
stratosphere,"The layer of the atmosphere above the troposphere and below the mesosphere (between 10 km and 50 km), generally characterized by an increase in temperature with height."
stratus,"A low, gray cloud layer with a rather uniform base whose precipitation is most commonly drizzle."
stratus clouds,"A low, gray cloud layer with a rather uniform base whose precipitation is most commonly drizzle."
streamlines,
subarctic climate,A climate found north of the humid continental climate and south of the polar climate and characterized by bitterly cold winters and short cool summers. Places within this climatic realm experience the highest annual temperature ranges on earth.
sublimation,"The process whereby ice changes directly into water vapor without melting. In meteorology, sublimation can also mean the transformation of water vapor into ice. (See Deposition.)"
subpolar low,
subsidence,"The slow sinking of air, usually associated wit high-pressure areas."
subsidence inversion,A temperature inversion produced by the adiabatic warming of a layer of sinking air.
subtropical high,
subtropical jet stream,
suction vortices,
sulfate aerosols,
summer solstice,"Approximately June 21 in the Northern Hemisphere when the sun is highest in the sky and directly overhead at latitude 23.5�N, the Tropic of Cancer."
sun pillar,A vertical streak of light extending above (or below) the sun. It is produced by the reflection of sunlight of ice crystals.
sundog,A colored luminous spot produced by refraction of light through ice crystals that appears on either side of the sun. Also called parhelion.
super typhoon,
supercell,
supercell tornadoes,
supercooled,Liquid water at a temperature below the freezing point.
supercooled water droplets,Liquid water at a temperature below the freezing point.
supersaturated air,A condition that occurs in the atmosphere when the relative humidity is greater that 100 percent.
surface inversion,See Radiation inversion
surface map,"An analyzed chart of surface weather observations. Essentially, a surface chart shows the distribution of sea level pressure, including the positions of highs, lows, ridges, and troughs and the location and character of fronts and various boundaries such as drylines, outflow boundaries, sea-breeze fronts, and convergence lines. "
synoptic scale,The typical weather map scale that shows features such as high- and low-pressure areas and fronts over a distance spanning a continent. Also called the cyclonic scale.
taiga,The northern coniferous forest; also a name applied to the subarctic climate.
teleconnections,
temperature,The degree of hotness or coldness of a substance as measured by a thermometer. It is also a measure of the average speed or kinetic energy of the atoms and molecules in a substance.
temperature inversion,"An extremely stable air layer in which temperature increases with altitude, the inverse of the usual temperature profile in the troposphere."
terminal velocity,The constant speed obtained by a falling object when the upward drag on the object balances the downward force of gravity.
Texas norther,
thermal,"A small, rising parcel of warm air produced when the earth's surface is heated unevenly."
thermal belts,The thermal belt refers to a mountainside zone where frost or freezing temperatures are less likely to occur than they are at either higher or lower elevations.
thermals,"A thermal column (or thermal) is a column of rising air in the lower altitudes of Earth's atmosphere, a form of atmospheric updraft. Thermals are created by the uneven heating of Earth's surface from solar radiation, and are an example of convection, specifically atmospheric convection. The Sun warms the ground, which in turn warms the air directly above it."
thermograph,A recording instrument that gives a continuous trace of temperature with time.
thermometer,An instrument used to measure temperature.
thermosphere,The atmospheric layer above the mesosphere. It extends from 90 km to outer space.
thunder,The sound due to rapidly expanding gases along the channel of a lightning discharge.
tipping bucket rain gage,A device that accumulates rainfall in increments of 0.01 in. by containers that alternately fill and empty (tip).
tornado,"An intense, rotating column of air that protrudes from a cumulonimbus cloud in the shape of a funnel or a rope and touches the ground. "
tornado alley,
tornado outbreak,
tornado warning,
tornado watch,
tornadoes,
trade wind inversion,
trade winds,The winds that occupy most of the tropics and blow from the subtropical highs to the equatorial low.
training,
transpiration,The release of water vapor to the atmosphere by plants.
trend forecast,
tropical air mass,A warm-to-hot air mass that forms in the subtropics.
tropical cyclone,
tropical depression,A mass of thunderstorms and clouds generally with a cyclonic wind circulation of between 20 and 34 knots
tropical disturbance,An organized mass of thunderstorms with a slight cyclonic wind circulation of less than 20 knots.
tropical storm,Organized thunderstorms with a cyclonic wind circulation between 35 and 64 knots.
tropical wave,
tropopause,The boundary between the troposphere and the stratosphere.
troposphere,The layer of the atmosphere extending from the earth's surface up to the tropopause (about 10 km above the ground).
troughs,"In meteorology, an elongated area of relatively low atmospheric pressure; the opposite of a ridge."
tundra,"Climate Found almost exclusively in the northern hemisphere or at high altitudes in many mountainous regions. A treeless climatic realm of sedges, grasses, mosses, and lichens that is dominated by a long, bitterly cold winter."
turbulence,Any irregular or disturbed flow in the atmosphere that produces gusts and eddies.
twilight,The time immediately before sunrise and after sunset when the sky remain illuminated.
typhoon,A hurricane that forms in the western Pacific Ocean.
ultraviolet,Electromagnetic radiation with wave-lengths longer than X-rays but shorter than visible light.
ultraviolet (UV) radiation,
upper-level front,
upslope fog,"Fog formed as moist, stable air flows upward over a topographic barrier."
upslope precipitation,"Precipitation that forms due to moist, stable air gradually rising along an elevated plain. Upslope precipitation is common over the western Great Plains, especially east of the Rock Mountains."
upwelling,The rising of water (usually cold) toward the surface from the deeper regions of a body of water.
urban heat island,The increased air temperatures in urban areas as contrasted to the cooler surrounding rural areas.
UV,Electromagnetic radiation with wave-lengths longer than X-rays but shorter than visible light.
valley breeze,See Mountain breeze.
valley fog,See Radiation fog.
vapor pressure,The pressure exerted by the water vapor molecules in a given volume of air.
vernal equinox,The equinox at which the sun approaches the Northern Hemisphere and passes directly over the equator. Occurs around March 20.
very short-range forecast,
virga,Precipitation that falls from a cloud but evaporates before reaching the ground. (See Fall streaks.)
virtual temperature,An adjustment applied to the real air temperature to account for a reduction in air density due to the presence of water vapor.
viscosity,The resistance of fluid flow.
visibility,The greatest distance an observer can see and identify prominent objects.
visible light,That portion of the electromagnetic spectrum from 0.4 to 0.7 µm wavelengths that is visible.
visible region,
vorticity,"A measure of the spin of a fluid, usually small air parcels. Absolute vorticity is the combined vorticity due to the earth's rotation and the vorticity due to the air's circulation relative to the earth. Relative vorticity is due to the curving of the air flow and wind shear."
wall cloud,"A localized, persistent, often abrupt lowering from a rain-free base. Wall clouds can range from a fraction of a mile up to nearly five miles in diameter, and normally are found on the south or southwest (inflow) side of the thunderstorm. ""Wall cloud"" also is used occasionally in tropical meteorology to describe the inner cloud wall surrounding the eye of a tropical cyclone, but the proper term for this feature is eyewall."
warm advection,
warm front,The leading edge of a warm air mass.
warm occlusion,
warm sector,
water balance,"The comparison of actual and potential evapotranspiration with the amount of precipitation, usually on a monthly basis."
water budget,Balance sheet for the inputs and outputs of water to and from the various global water reservoirs.
water equivalent,"The depth of water that would result from the melting of a snow sample. Typically about 10 inches of snow will melt to 1 inch of water, producing a water equivalent of 10 to 1."
water vapor,"Water vapor is the gaseous phase of water. It is one state of water within the hydrosphere. Water vapor can be produced from the evaporation or boiling of liquid water or from the sublimation of ice. Unlike other forms of water, water vapor is invisible.[4] Under typical atmospheric conditions, water vapor is continuously generated by evaporation and removed by condensation. It is lighter than air and triggers convection currents that can lead to clouds."
waterspout,
wave cyclone,
weather,"The state of the atmosphere in terms of such variables as temperature, cloudiness, precipitation, and radiation."
weather type forecast,
weather warning,"Hazardous  weather conditions that pose a threat to life and/or property are occurring, imminent, or highly likely."
weather watch,
weighing bucket rain gage,A device that is calibrated so that the weight of rainfall is recorded directly in terms of rainfall in millimeters or in inches.
westerlies,
wet-bulb depression,The difference in degrees between the air temperature (dry-bulb temperature) and the wet-bulb temperature.
wet-bulb temperature,"The wet-bulb temperature is the temperature a parcel of air would have if it were cooled to saturation (100% relative humidity) by the evaporation of water into it, with the latent heat being supplied by the parcel."
whirlwind,"A small but rapidly rotating wind made visible by the dust, sand, and debris it picks up from the surface. It develops best on clear, dry, hot afternoons."
white frost,Ice crystals that form on surfaces instead of dew when the dew point is below freezing.
wind,"Wind is the flow of gases on a large scale. On the surface of the Earth, wind consists of the bulk movement of air."
wind chill,"The cooling effect of any combination of temperature and wind, expressed as the loss of body heat. Also called wind-chill index."
wind direction,"Wind direction is reported by the direction from which it originates. For example, a northerly wind blows from the north to the south.[1] Wind direction is usually reported in cardinal directions or in azimuth degrees. For example, a wind coming from the south is given as 180 degrees; one from the east is 90 degrees."
wind shear,A difference in wind speed or direction between two wind currents in the atmosphere.
wind speed,"Wind speed, or wind flow velocity, is a fundamental atmospheric quantity.

Wind speed is caused by air moving from high pressure to low pressure, usually due to changes in temperature."
wind vane,An instrument used to determine wind direction.
wind waves,"In fluid dynamics,_wind waves, or_wind-generatedwaves, are surface_waves_that occur on the free surface of bodies of water (like oceans, seas, lakes, rivers, canals, puddles or ponds). They result from thewind_blowing over an area of fluid surface."
wind-chill,"The cooling effect of any combination of temperature and wind, expressed as the loss of body heat. Also called wind-chill index."
wind-chill index,"The cooling effect of any combination of temperature and wind, expressed as the loss of body heat. Also called wind-chill index."
windsock,"A large, conical, open bag designed to indicate wind direction and relative speed; usually used at small airports."
winter solstice,"Approximately December 22 in the Northern Hemisphere when the sun is lowest in the sky and directly overhead at latitude 23.5_S, the Tropic of Capricorn."
wrap-around band,"Precipitation that falls on the back side (in Northern Hemisphere the northwest side and vicinity) of a low pressure system. Usually, the_moistureflow into a low pressure system will be on the south and east side of the low pressure. The cyclonic winds rotate this moisture around the low pressure system. Much of the moisture is lost as the air advects around the low pressure system and rises along the slope of the warm front. The precipitation on the back side of a low pressure system is often weaker in intensity as compared to both the precipitation along the fronts and in the warm sector of the low pressure. The wrap-around precipitation can be thought of as precipitation from the left over moisture that has made its way around the low pressure system."
Younger Dryas,"The first and third climatic stages of the late-glacial period in northern Europe, in which cold tundralike conditions prevailed and plants of the genus_Dryas_were abundant. The_Older Dryas(about 15,000 to 12,000 years ago) followed the last ice retreat, and the_Younger Dryas_(about 10,800 to 10,000 years ago) followed the Allerèd stage."
zonal flow,"The wind, or wind component, along the local parallel of latitude, as distinguished from the meridional wind."
