questionBody,questionResponse,,,,,
"so the gradient can only be seen when ur high in the atmosphere?	""I believe it's because the pressure at the surface is the same", so because we see a temperature difference, which we know changes the heights of the columns and induces a pressure gradient aloft (The warm air in the south is higher," the cold air in the north is lower) it induces a wind that is then turned by the coriolis force thus going INTO the board all across""",,,
"Why was it colder? I get the windy part, but I dont get the colder. Can you please explain this?	""it was WARMER Winds would be blowing from the southeast"," typically the south is warmer than the north so it would carry those warmer winds from the southeast to the northwest.""",,,,,
"is the troposphere the highest level of the atmosphere?	No it's the lowest. See slide 5",,,,,,
"Do we have to pay for course.work to get a subscription?	yes",,,,,,
"What does he mean by pressure in the stratosphere and the air can't flow out?	""Stratosphere is a very stable layer above the troposphere (Where all our weather happens", planes fly near the top of this), in a well formed hurricane, the inflow winds are pulled in so fast, they cannot flow out the top at the same rate, so they fall back down the center," and create an eye of a hurricane. Descending air is stable so that is why the eye is calm"""
"I don't know if I heard him right - did he say blast rate or something else?	Lapse rate. Temperature lapse rate",,,,,,
"Whats the difference between the red line and orange line?	""I believe the red line is incoming solar radiation from the sun"," but the orange line is the actual temperature of the surface. We see there is a lag in when we see peak sun to see peak heating. This is due to a number of things we have discussed such as heat capacity of the surface and energy budget (incoming vs. outgoing radiation)""",,,,,
"Do we need to answer this question or just ignore it?	He said he forgot to get rid of it so he probably will afterwards but just in case you can answer it if you want. Answer should be nighttime in the arctic because of LW radiation being emitted and trapped by green house gases leading to a warmer surface than intended",,,,,,
"outside temp is 20c... why do we set THIS as our denominator? for me it makes more sense to set it as my numerator and the DEW POINT as denominator (since that is the max humidity)	""To answer this question"," you go to the graph to find out how much moisture each of these temperatures can hold. The DEWPOINT is defined as the temperature at which air on a given day is completely saturated. (i.e. the max value). You place the saturated vapor pressure (in mb) over the vapor pressure (in mb) both found from the graph. A temperature turns into a vapor pressure on the graph and a dewpoint temp turns into a saturated vapor pressure on the graph.""",,,,,
"will we be expected to know the various declination angles of the sun or just the formula?	Solar declination angle is the angle of the tilt of the earth. It's 23.45 either North or south depending on if it's summer or winter solstice. http://www.susdesign.com/popups/sunangle/declination.php",,,,,,
"was the answer to that question south or southeast?	""I believe it's simply H to L pressure"," so a wind from the east""",,,,,
"Which area has heavy snow?	""Not in this figure"," he's referring to rain/snow line you'll learn about. We don't have temperatures available on this map so it's hard to say""",,,,,
"How does dew point correlate with the temperature? I am completely lost as to how he was coming to those answers!	""It is always correlated! A parcel of air has both a temperature and a dewpoint associated with it. The dewpoint will never exceed the temperature. ",,,,,,
As we go up: if we go up 1km, the temperature is now 15, dp is 7, go up another 1km now temp is 5 and dp is 5," therefore air is saturated and we get a cloud""",,
"How do I know if I should add friction force like this question I choose east.	""even if in the high elevation?|Now that we are talking about friction it should always be included unless otherwise stated"," since that's the reality we see""",,,,,
"Have we had any questions yet my wifi was down?	nope!",,,,,,
"i cant click on the image to answer the question, how do i do this?	""I'm not sure"," can you try reloading the page and try again? Make sure you're viewing the window that you take notes on and not the screen capture of the slides.""",,,,,
"are homeworks graded on completion or correctness?	I believe correctness",,,,,,
"do you always add 10% of the measured pressure?	A rough approximation of how to adjust to SLP is by adding 1mb for every 10m of elevation above sea level.",,,,,,
"this question is hidden for me	""Try going back a slide and then forward again","  they are unhidden.""",,,,,
"Perry and I go to the brown jug every Thursday and talk hurricanes over some ice cold keystone	i wish",,,,,,
"Good morning Kim, will you be sending out a review guide if we cannot make it to the session for tomorrow night?	Yup in a few minutes!",,,,,,
"last class I forgot to submit where I was participating from and the wellness scale, but I participated in all the other echo activities. Will I still get participation credit?	I believe so.",,,,,,
"will i lose credit for not being able to draw the isobars at home?	""There is no way for us to collect your papers at home", so how would the system know if you had completed them?,,,,,
"we will not be collecting them here either as it is a learning exercise. Perry DOES however have a question posed at the end of the lecture so you'll need to wait for that.""",,,,,,
"I couldn't get my answer in on time. The poll closed	reopened.",,,,,,
"Is the North Atlantic drift warm?	The gulf stream brings warm tropical water north yes. But when it returns south it is deep cold ocean water and it brings cool water down and to the east",,,,,,
"so its when the ice rubs against the water in the clouds that lightning is created?	""In a way yes"," it is the negative and positive charges building up due to the """"rubbing"""" that eventually creates lightning.""",,,,,
"Are there other atmospheric bands other than the one that we discussed in class?	Define atmospheric bands?",,,,,,
"how can I select 3 at once?	""Mac = command",,,,,,
"PC = control""",,,,,,
"is dew point always the numerator?	""the saturated vapor pressure ASSOCIATED with a dewpoint is always the numerator. The vapor pressure associated with a temperature"," is the denominator.""",,,,,
"every time I try and sub,it an answer the umich wifi kicks me off	""I'm not sure"," make sure you're on Mwireless instead of Mguest. Or try vice versa|I'm in class|Are you located in a school building or the classroom building?""",,,,,
"Do you cirrusly love clouds?	What kind of shorts do clouds wear?|Thunderwear|cirrusly",,,,,,
"How do I check my participation grade?	Echo 360 gives an estimation but it's not always correct. No way to check until Perry posts it.",,,,,,
"Are the units in percent of energy received from the Sun daily?	""I think he is using arbitrary """"units"""" just to show that when in equilibrium"," the Earth/atmosphere outgoing/incoming balances.""",,,,,
"Do you only get credit if you get the answer correct?	nope its participation",,,,,,
"what is a dry line?	Try rewinding the lecture to hear what perry said about 2 minutes ago. It's a naturally occurring strong change in dewpoint where there is a declination of extremely dry air with moist air in front.",,,,,,
"All the question slides are hidden for me so I can't answer them	""If you can't see a slide as mentioned many times before"," the browser must be refreshed""",,,,,
"The exam is open note, correct?	correct",,,,,,
"Why is it warmer?	""Winds would be blowing from the southeast"," typically the south is warmer than the north so it would carry those warmer winds from the southeast to the northwest.""",,,,,
"Why do clouds seem to swirl around Michigan? Storms seem to hit Michigan and gain cloud cover.	""the great lakes have a large impact on our weather. That's why we have lake effect snow", and for rain storms, they can provide extra moisture for the systems. Usually though, the common weather pattern is systems spinning up off the rocky mountains, becoming formed over the plains and gaining energy," and then it hits us in Michigan because of the way the wind flows across the US""",
"I can only pick one.	hold down the control button while picking multiple|hold the command button when choosing your answers and you can select multiple",,,,,,
"Why the max temperature is around 3pm when the incoming solar energy is more at noon?	""It takes time for the ground to heat up so even though peak solar radiation is around noon"," the ground doesn't fully absorb this heat until later in the day. Around 3/4 the sun is lower in the sky which allows outgoing radiation to match incoming around 3-4 pm thus peak heating|https://www.almanac.com/fact/what-is-the-hottest-time-of-dayr""",,,,,
"Would we be able to see  our third exam score before deciding to take the final?	Yes you can wait to decide all the way up until the final. Please see my email regarding this though",,,,,,
"Do we get a study guide or something along those lines for next Friday's exam?	No study guide. It is recommended you make your own based on what we've learned in class. I will be holding a review session next week that I will release details on soon and that will cover concepts on the exam",,,,,,
"what does the 3000 represent?	It is a constant. Don't need to worry about how we got it in this class",,,,,,
"What amount of water would constitute a criteria for a 100 year flood??	It's not a scientific quantity but a phrase used to describe something rarely seen that sets records. Catastrophic flooding like we've seen more frequently now with Harvey and Irma.",,,,,,
"Is the Audio still not working for anyone?	""Try refreshing browser page"," mine works""",,,,,
"The assignment for the parent weather experience does not show a text box. What can I do to fix this?	""It could be because the assignment was due this morning by 10am so it is now closed.|You have to click """"sumbit"""" and then you get a text box""",,,,,,
"Are in class activities graded by attendence or answering questions correctly with i-clicker?	""you don't need an iclicker"," it's all on this website and yeah graded by participation|The iClicker questions are graded by participation|What must be done on the laptop to receive in class participation credit?""",,,,,
"slides 28 and 30 are both still  hidden.	nevermind.",,,,,,
"What do we do if the live stream isn't working for us? I can't watch the live stream, but the slides are working for me	""Can you reopen slide 4 for me? It's still hidden", and I won't know when it's opened.|If the slides are working you should be able to still participate. For the live stream," Perry had made an announcement at the beginning of the semester about what to do if your live stream is not working so check that. It's likely a browser update or java problem. Campus computers usually have the lastest updates""",,,,
"the slides are showing up as hidden	refresh",,,,,,
"If there is snow, can we all go skiing?	I got so excited thinking this was a rando student. Yes Hannah we can all go skiing",,,,,,
"in this equation, is 3000 a constant we are given?	yes",,,,,,
"Is the exam open book and open computer again?	Same as last exam. Details were posted on recent class announcement",,,,,,
"Are Solar storms included in the study of meteorology?	""Yes"," in a way. It's sometimes more related to """"space weather"""" but since it can influence us as dramatically as Perry is talking about I think that's why he included it.""",,,,,
"Why not SW ? the higher pressure is from the south?	""on slide 36? winds are CCW"," they will be FROM the northwest at the fixed point of the ship.""",,,,,
"sos i cant type notes	I think everyone is having this issue and I apologize. I'll tell Perry.",,,,,,
"so even under extreme circumstances exam 3 cannot be taken at a different date?	You'll have to explain these extreme circumstances to Perry or I but this should be handled over email or in person",,,,,,
"What is the reason for night time temperatures in Arctic to be rising faster than that of in the tropics again?	""I believe it's because at nighttime", there is no incoming solar radiation, so there is only the effects of the outgoing longwave radiation which cools the earth dramatically. Greenhouse gases form a sort of insulating blanket that trap outgoing longwave radiation and keep the earth warmer. Since we expect the arctic to be cooler to begin with, and temperatures are higher than they should be," we can see the presence of greenhouse gases more clearly than in the tropics where it is warmer.""",,
"How does jet stream lead to divergence aloft again?	""Also", if the air is exiting a trough in the upper atmosphere, the air is speeding up and diverging out (think of race cars exiting a turn)|If you have convergence at the surface (air flowing in and up) it has to go somewhere," so aloft it diverges""",,,
"precipitable water is a function of what?	Precipitable water reflects the amount of water contained in a vertical column of air that has the potential to be rained out. It is the amount of moisture available at a particular time.",,,,,,
"Did Samson say that temperature is in degrees Kelvin?	yes",,,,,,
"Why is the greatest storm surge on the right of the movement even when the storm's wind is rotating towards the left or counterclockwise?	""It's coupled with the direction the hurricane is moving in. On slide 26 for example"," it is moving due north so the winds on the right side are moving in the same direction of the hurricane meaning the greatest storm surge. (L pressure systems always rotate counterclockwise in the northern hemisphere)""",,,,,
"What if we don't show up today and we don't know what exact grade #4 I've got?	Check canvas announcement",,,,,,
"what Is a solar declination angle?	""Solar declination angle is the angle of the tilt of the earth. It's 23.45 either North or south depending on if it's summer or winter solstice.",,,,,,
"http://www.susdesign.com/popups/sunangle/declination.php""",,,,,,
"What did Professor Samson just say about determining if the air is stable or unstable? I didn't catch it.	""If the rising parcel is cooler than surrounding air at that height as determined by the environmental lapse rate", then it is more dense and will sink back down = stable. If the air parcel is warming than the surrounding air at that height determined by the environmental lapse rate, then it is buoyant and will continue to rise = unstable|Thanks!|The rate at which the parcel rises is determined by if it is saturated or unsaturated," it will rise at the moist or dry adiabatic lapse rate for each case""",,,
"Will the counterclockwise rotation of a low pressure system always be as clear as it was in that image?	Nope! You can see there's one in northern Canada coming down through the US as well",,,,,,
"Will this be on Exam 3?	""Yes"," as stated in the canvas announcement""",,,,,
"If the poll timed our before we could answer a question, does this affect our grade?	I usually reopen them since perry closes quickly so just refresh browser and double check. I think as long as you answer most questions you're good.",,,,,,
"Do you still get the in class participation points if you're attending the live session online remotely?	""Yes. Participate along with Perry"," don't skip ahead and you will be fine.""",,,,,
"He mentioned that the storms were moving SW to NE. But the whole system is moving from where to where?	""I'm not sure I understand your question"," the storm moved from the southwest to the northeast into Ohio.""",,,,,
"I believe that you can only choose one answer for this question even though prof is asking us to pick three?	hold down control or command. It's okay if you only pick one",,,,,,
"I do not get the calculation of Slide 22. Can you please explain?	""We are given the saturation vapor pressure (10 mb) and the temperature is 17C", so go to the graph and see how much moisture a temp of 17 can hold (ends up being about 20," so 10/20 is .5 or 50% relative humidity""",,,,
"What are those quick grey flashes on the screen?	Either error because it is a composed image of lots of other images from satellites or the night/day cloud cover from mountains",,,,,,
"Should we consider the friction force to determine wind direction in the exam?	""I think Perry will be getting to that force"," for now only assume the forces explained in the question posed""",,,,,
"Do we assume the atmosphere to be unsaturated for these questions?	I think so because the dewpoint and temperature are not near one another so it's not saturated",,,,,,
"how come N side has forest when sun is 42deg? that means its less warm... the S side is 98deg. please explain	It has to do with north vs. south. I'm not sure what your question is but follow the formula on slide 34 and you should be good.",,,,,,
"severe thunderstorms are miles deep. is this true of air mass thunderstorms too?	It depends on how high the convection extends. It could very well be a mile or two up but usually not to the extent of multicell or severe thunderstorms",,,,,,
"What temperature did Perry say that absolute zero was, again?	""-273.15 C"," which is 0 kelvin""",,,,,
"there is a problem with the live stream- no audio can be heard and the camera is in the back so we can barely see the professor	Audio should be good! I'll see what I can do about the camera but as long as you can hear and follow along with the slides you should be good!|audio fixed!",,,,,,
"What is an atmospheric river?	See the last few lectures for more discussion on this. It is a large river of moisture being carried over land usually having just passed over large water body such as the ocean",,,,,,
"Is the solar declination angle during the summer/winter solstices something we're supposed to know?	Solar declination angle is the angle of the tilt of the earth. It's 23.45 either North or south depending on if it's summer or winter solstice. http://www.susdesign.com/popups/sunangle/declination.php",,,,,,
"how do you determine wind direction using the maps with isobars?	""Isobars are lines of constant pressure", since air wants to flow from H to L pressure, we can see that higher pressure exists to the east and south," and the pressure lowers to the west and north. Drawing a wind ACROSS isobars from H to L (east to west) and then coriolis turns it to its RIGHT. We get a wind FROM the SOUTH.""",,,
"What is the 'center low pressure' that he's talking about in this slide?	But he's most likely referring to slide 14 where there is a low pressure system initiating all of this activity|I think it's where the updraft is at the center. Because the air is being sucked upwards and creating a localized area of low pressure",,,,,,
"Question for other students -- would anyone be interested in creating a study group?	yes!",,,,,,
"Do microbursts only effect the plane as it's trying to land or does it cause problems for planes at cruising altitude as well?	""Planes at cruising altitude fly typically around the tropopause at 30",000 feet. As we have learned," this is where the highest clouds are located. A microburst happens below the cloud base of a storm cloud which as we have also learned is fairly close to the ground. So no because planes would be rerouted around thunderstorms""",,,,
"could you reopen slide 34, i did not have enough time to answer	it is briefly",,,,,,
"why is the low pressure system moving north?	""there is a high pressure system out in the atlantic", as we know they move clockwise," so it's steering the system north. It could also be due to the temperature gradient at the surface""",,,,
"What is dew point temperature .	The temperature at which the air would be saturated.",,,,,,
"why do the clouds by mexico never seem to be traveling	""Not sure what you're referring to here"," it could have been a stationary high pressure system or a glitch in the imagery""",,,,,
"What is the last lecture that will be on the test this Friday?	Will be this Wednesday I would say",,,,,,
"Are exams online or do we need to be present in the class for it?	You need to be present in class for it. We have two exam rooms and we will post details on this soon",,,,,,
"Are the exams taken during our scheduled class time 10-11?	yes",,,,,,
"what is the difference between Solar, Infared, and Ultralight radiation (in terms of Earth vs. Sun)	""solar is incoming shortwave radiation from the SUN. Infared is outgoing longwave radiation from the EARTH. Not sure what you mean by """"ultralight""""""",,,,,,
"Are we going to be getting our scantrons back from the exam?	""Nope"," by process of elimination you can calculate your score by subtracting your short answer listed on the back from the total. Posting the answers right now!""",,,,,
"there's no audio in the live stream on my end	Refresh. Audio is working for me.",,,,,,
"why was it -10 instead of -12 at the top of the mountain?	""Be sure to remember that the increments on the figure are by 500m and the lapse rate is every 1000m. So if you are stepping through every 500m"," the lapse rate is halved every step.""",,,,,
"for a question like this, don't you need to specify if the winds are surface or aloft? wouldn't that change the direction?	The winds on all of these figures are at the surface. If the winds were aloft they would state the level above sea level in millibars like (500mb) for instance",,,,,,
"I am at home and my slide is still hidden	Try now",,,,,,
"Why are planes still taking off when there is a storm?	good question I was thinking same thing",,,,,,
"When are office hours?	Today 12-2 and tomorrow 12-2! SLC alcove 7",,,,,,
"Slide 19 was also hidden for me even after repeatedly reloading my browser.	""Try reloading page on your browser now since Perry closed it"," if that doesn't work email me your answer and explanation with """"extreme weather participation"""" in the subject line""",,,,,
"How in depth should we know the different categories?	""Know the order", approximate wind speeds," and approximate structural damage.""",,,,
"I am not allowed to view the live stream due to not having an updated adobe flash player. I have tried to install an updated version and it still will not let me view the live session. How do I fix this?	Not sure as this is a personal computer question. It's not too late to come to class though! You could also try a campus computer.|Check other responses",,,,,,
"what type of cloud is a contrail?	""It's formed from the water vapor coming out of planes in the sky. If the atmosphere up high where the plane is flying is moist enough", the water vapor coming out of the plane will condense and leave a little cloud (contrail) behind. If you look up on a clear day," you might see contrails behind airplanes in the sky.""",,,,
"How is the declination angle of the sun calculated?	Solar declination angle is the angle of the tilt of the earth. It's 23.45 either North or south depending on if it's summer or winter solstice. http://www.susdesign.com/popups/sunangle/declination.php",,,,,,
"Slide 38 is still hidden for me? Is that correct?	no refresh browser",,,,,,
"so as the temperature difference grows, the pressure gradient gets steeper at the top of the troposphere?	exactly",,,,,,
"Are the answers to the scantron questions on canvas?	I will upload them shortly!",,,,,,
"is the sound not working for anyone else?	working for me!",,,,,,
"Is the exam taking during class time on friday?	Yes it is. More details will be sent out shortly",,,,,,
"why would changing over a lake have an effect on the Lapse rate? He mentioned something about heat from the lake, however wouldnt the water it be colder than the air in the winter?	The water holds much more heat than air and ground as we learned at the beginning. It has a higher heat capacity. So actually during the beginning winter months the temperature of the water is warmer than the air. (Still very cold but warmer)",,,,,,
"What is the exact definition of flood stage again?	The level at which above this stage flooding begins to inundate over stream/river levels and affect homes/businesses",,,,,,
"Where are the readings located on canvas for each class	""Better answer: Canvas announcement titled: """"Welcome to Extreme Weather & Climate"""" Link at bottom of announcement|modules --> schedule""",,,,,,
"how to do solve for point A	""Assuming you mean slide 23: ",,,,,,
"temperature cools at dry rate 5 degrees every 500m. Take it up one step and it is now 5. The dewpoint cools at 1 degree every 500m. Raise it one notch and it's now 5 degrees too. T=Td so we get 100% humidity and a cloud. We now raise them both at the moist rate since they're saturated. That's 3 degrees every 500m. At top we get -10 for both.""",,,,,,
"Just to clarify, why would A or C be answer? Is it because the NET difference isn't as LARGE as the NIGHTTIME in the Arctic? Like with A, we know it will be hot, as well as C (daytime in Arctic) but it isnt the MOST noticeable compared to the ARCTIC at night?	""I believe it's because at nighttime", there is no incoming solar radiation, so there is only the effects of the outgoing longwave radiation which cools the earth dramatically. Greenhouse gases form a sort of insulating blanket that trap outgoing longwave radiation and keep the earth warmer. Since we expect the arctic to be cooler to begin with, and temperatures are higher than they should be," we can see the presence of greenhouse gases more clearly than in the tropics where it is warmer.""",,
"Does all the previous exams in FILES, cover the same content with this class?	""Mostly yes", but because we have skipped around a little with hurricanes," hurricanes will be on this exam when I think they are on Exam 3 in the files. Whatever we have covered IN LECTURE will be on the exam.""",,,,
"How will we know which multiple choice we got wrong if we dont get our scantron back?	But individually how do we know what questions we got marked down on?|There is an exam key posted",,,,,,
"how many K is the sun?	6000",,,,,,
"Does cA stand for continental arctic?	yup",,,,,,
"I had a question on how participation points are calculated. In a couple of past  class sessions, I got low scores for participation even though I was live streaming the class and answered all the questions. Does the correctness of my answers matter too? Or how are points deducted?	Just the participation. Make sure that you answer the first two questions about how you are because they count as well. It is calculated automatically by echo360 so I do not have control over that.",,,,,,
"does Coriolis force always go in the opposite direction as pressure gradient force	Coriolis force always acts to the RIGHT of the expected winds in the N. Hemi. LEFT in S. Hemi",,,,,,
"will any material form exam 2 appear on exam 3? or just everything since lightning?	Anything that should be general understanding from Exam 2 that leads into material for Exam 3 should be understood but will not be directly tested. i.e. you need to know about divergence aloft to understand tornadoes",,,,,,
"How come my personal attendance says 50% even though I have been here for every class and done all of the activities?	Do you know when these grades will be released on canvas so we can make sure that the technology is working correctly|Echo 360 participation is not accurate. What will be on canvas is accurate",,,,,,
"What unit for Convection and Evaporation is he using? He mentioned for example +23 units	""I think he is using arbitrary """"units"""" just to show that when in equilibrium"," the Earth/atmosphere outgoing/incoming balances.""",,,,,
"is oxygen 18 the heavy variety or is oxygen 16 the heavy variety	18",,,,,,
"Why doesn't the air spiral toward the low pressure system aloft? What prevents the air from ""filling"" the low?	""The wind blows so much faster aloft because there is no friction from the surface"," and as we saw pressure gradients aloft tend to be stronger""",,,,,
"So does friction force just counter-act Coriolis effect?	""yes in a way", friction slows the wind down. So once you set it up like usual (H to L, coriolis force turns) you can then add friction as slowing the wind down," which counteracts CO force slightly and angles back towards favoring L pressure""",,,
"when these types of questions are asked, does he want to know from which direction is it blowing FROM or which direction it is blowing TO?	Actually I think he's asking where its coming from|Yeah the wording on this was very confusing|To",,,,,,
"So is there no participation grade for today?	""Yes there is"," there are still two questions at the beginning as well as a live question at the end.""",,,,,
"Is there any kind of curve for our exam?	Not that I'm aware of",,,,,,
"Are answers posted for the old exams?	There are answer keys yes in the same folder. I believe they are under files --> course tools",,,,,,
"Wifi is not working very well. The charts that we are supposed to submit answers about are not loading or responding. Since we get graded by our participation on this, what should we do?	""Try going somewhere with better wifi is the only solution I can think of. If you are in class"," you can write on paper and give it to me after.""",,,,,
"How did he get the degrees of declination during the solstices? (The 23.5's)	Solar declination angle is the angle of the tilt of the earth. It's 23.45 either North or south depending on if it's summer or winter solstice. http://www.susdesign.com/popups/sunangle/declination.php",,,,,,
"When will the weight of each group of our grade be updated to our google form percentages?	""See canvas announcement on DIY grading"," it won't be updated until end of semester because canvas doesn't allow it but Perry provided a tool where you can calculate it yourself""",,,,,
"What is the green line representing?	Area where the air is converging",,,,,,
"Is there any way to get rid of the ""hide live stream"" button on the livestream? It is right in the middle of the video and really distracting	Tried that but the smaller the window the more this option obstructs the video. I have the slides bigger than the video|You can toggle the different viewing windows to select which is bigger. You can also adjust the size of each window.",,,,,,
"what is 1/distance^2?	Theorized temperature decrease as moving away from sun. We see a difference though from this",,,,,,
"I'm trying to participate with the questions but on the question slides I get a text box to submit my answer in, not a multiple choice question.  The options show up only when the poll is closed.  Any advice on what to do?	""refresh your browser when you get to a slide. If perry has it """"hidden"""" before you get to it"," you have to refresh your browser to see it. If this isn't working in the meantime you can email me with subject line """"extreme weather participation"""" the date of the lecture and your answer to one of the questions. You will need to investigate your computer browser settings for the future though or email the echo360 people|Thanks!""",,,,,
"Is the test on Friday gonna be on stuff from clouds all the way to thunderstorms?	Yup",,,,,,
"can someone explain step 2 again with the relative humidity?	Once the parcel reaches saturation temperature (100% relative humidity) water vapor will condense onto the cloud condensation nuclei resulting in the formation of a cloud droplet.|http://www.srh.noaa.gov/jetstream/clouds/formation.html",,,,,,
"Why is it not 298.16 degrees K?	rounding preference. Using 273 instead of 273.16",,,,,,
"I tried to answer the question, but the slide would not allow me to scroll down to the answers.	I do not have a mouse.|Try now and you have to scroll with your mouse not keypad",,,,,,
"How do you know whether to add or subtract the angle of the hill?	""It has to do with the equation on slide 34. It should be added when it slopes south"," subtracted when it slopes north.""",,,,,
"why was that last lightning number one? was there anything unique about it?	""You could ask the maker of the video"," I have no idea they were all cool to me""",,,,,
"What is the answer for this question again?	from the northwest",,,,,,
"Is it just me or have the other lectures disappeared from the ALP!?	Nvmd found them RIP",,,,,,
"Does Dew point will rise and drop at the same rate for dry and moist ?	""I edit this answer by pointing to slide 31: ",,,,,,
if it's saturated," dewpoint will also change at the moist adiabatic lapse rate""",,,,,
"What is the definition of blocking high ?	""A high pressure system that """"blocks"""" a hurricane from moving off to the northeast in the atlantic away from land because of its clockwise winds""",,,,,,
"The earth is gonna travel faster on the left or the right side of the orbit?	Travels faster the closer it is to the star in an eccentric orbit (generally).|The left where we are closer to the Sun. Also please note this picture is not to scale.",,,,,,
"what is vapor pressure again?	Think of it as the pressure exerted by just water vapor molecules vs. all other molecules in a parcel of air. It's another way to measure amount of water vapor in the air",,,,,,
"Do you have an idea of when exams will be graded?	""As was the same last exam"," they will be in a week after the exam on Friday""",,,,,
"Why does the wind shift from southwest to northwest what changed?	It is a low pressure system. Winds rotate counterclockwise and the low is moving across lake superior so the winds will change at the fixed location of the ship",,,,,,
"On slide 25, is that little line coming up from that tall metal object in the left corner one of those ""streamers"" that didn't reach the lightning?	Yes I would guess so! Amazing picture",,,,,,
"Is the monetary value corrected for inflation?	Unsure. I'll ask Perry afterwards!",,,,,,
"Can someone ask what is the number one thing worse than a hurricane on Miami?	Miami",,,,,,
"what is a parcel of air?	""Just a relative term used to describe a little """"bundle of air"""" think of it as a small box of air if you'd like.""",,,,,,
"Can I still get full participation points by participating on the Active Learning Platform Monday, Wednesday, and Friday nights? Or must I participate live	You can however rewatch the lectures whenever to review information|You must participate live to get the points since the questions are posed live during class and closed afterwards. Good question though|Seconded. I think too many people are trying to watch/participate right now and that's why streams keep cutting out for people.|When will the participation grades for each lecture be posted",,,,,,
"When would you reevaluate the recurrence level?	I think he is about to get to this point... as in we see this happening more frequently|The intensity of the storms is what's changing.",,,,,,
"I feel like all the readings that I've done do not relate to the lecture subjects.	The readings are listed under the schedule posted on the second announcement on canvas. I think Perry is diverging from the usual order of lectures because of the great learning opportunity we have with these hurricnanes",,,,,,
"can you reopen the 4th slide i didnt answer it in time	""He never opened it so he's planning on coming back to it"," you can see this at the bottom where there's zero submissions""",,,,,
"I have a macbook and the live stream is not visible. Says I need to update Java but I did.	""Using chrome"," update it under settings. If not try restarting but I'm not sure as this is a computer problem""",,,,,
"what is that force called? Dealing with the equator?	The Coriolis force. http://ww2010.atmos.uiuc.edu/(Gh)/guides/mtr/fw/crls.rxml",,,,,,
"I didn't have time to answer the question before he closed the poll. He opened the poll back up and then I answered it, but does that mean I won't get credit for that question?	yup",,,,,,
"so lightning isn't on the test?	Nope it is not.|ONLY what we covered up through Friday is on the test.|is this stuff about squall line thunderstorms on the test?",,,,,,
"For the visit to the Big House, I have a class until 10 and will not be able to walk before 10:10. Is there going to be extra time added to michigan time since the stadium is far away?	Please email Professor about this. This area is for lecture questions.",,,,,,
"the slide won't open for me	can you please open back up the poll?|refresh the browser",,,,,,
"How do you get to the beginning survey?	""Follow along in the lecture with Perry"," don't skip ahead and he will reveal the surveys.""",,,,,
"Where are the participation slides? I cant find where to click to participate, only the frozen slide screen	If you are talking about slide 7 try again now",,,,,,
"If winds rotate clockwise around a low pressure in the northern hemisphere, why do hurricanes rotate counterclockwise in the northern hemisphere?	Winds rotate COUNTERCLOCKWISE around a low in N. Hemisphere",,,,,,
"What is the exam format? Is it all multiple choice like our homework or are there some writing questions?	Example exams are posted on canvas site. But it is 30 multiple choice and about 10 short answer for a total of 100 points. Tests are open note/open computer",,,,,,
"what is the condensation level?	""That level at which clouds will form. For our purposes in this class", it will be when the temperature and the dewpoint are equal," hence 100% humidity""",,,,
"What causes the pattern of dart leaders and return strokes to stop?	I beleive when all of the charge that has built up dissipates",,,,,,
"What did he say was wrong with this slide?	It should say Mesoscale storms not tropical",,,,,,
"is it called ""direct thermal circulation?""	Not sure which slide you are referring to but I believe so.",,,,,,
"Why is there less CO2 uptake after ocean temperature rises?	Ocean takes up CO2 more efficiently when temperatures are colder",,,,,,
"How to we determine which spot has a difference of 15mb from Ann Arbor? Do we just subtract the values on the isobars?	""The isobars are lines of constant pressure", we can see that Ann Arbor is in between 1024 and 1020 so we can approximate 1022," now find an area that has + or - 15 mb from that value. i.e. 1007""",,,,
"What does it mean when you go form Georgia from South Carolina?	""If you see the states are labeled on the map", it is warmer in Georgia than Ohio because of the gradient in pressure from south to north. Creates a wind. The coriolis force turns the wind to ITS right meaning a westerly wind. South Carolina is to the east of Georgia," so it will likely have a wind coming from the west. Perhaps get a bit warmer too.""",,,,
"does the optional final replace an entire exam score? Or just add to the average?	replace!",,,,,,
"is the solar declination angle always 23.5?	Solar declination angle is the angle of the tilt of the earth. It's 23.45 either North or south depending on if it's summer or winter solstice. http://www.susdesign.com/popups/sunangle/declination.php",,,,,,
"This all seems very ambiguous. Are the lines supposed to go across the map? Are we circling areas of similar temperature? Are the areas of similar temperature supposed to go above/below the line?	""Meteorology is ambiguous. Start with a given temperature like 30 and connect the dots of 30F marks", making sure values less than that are on one side," and more than that on the other. It takes a lot of practice so don't get discouraged.""",,,,
"Does anyone have a Ricola for Perry??	Gave him 4 cough drops last class",,,,,,
"How is there going to be room for everyone to have a seat during the test since no one will be watching online?	Of course we've thought of this and booked 2 exam rooms",,,,,,
"is vapor pressure the amount of humidity the atmosphere can hold divided by the given temp or humidity or vice versa?	No review the slides that give the definitions. Vapor pressure is the pressure exerted by just the water vapor molecules in a parcel of air. In order to find the relative humidity you put the saturated vapor pressure over the vapor pressure at a given dewpoint/temp using the clausius Clapyron graph",,,,,,
"Why does he close the questions. What happens if I am not able to answer one in time?	He closes the questions so that people who do not participate live can't go back and still get participation credit. Sometimes I go back and reopen it for a few minutes for people who didn't get to answer. I often do this so make sure to refresh your browser after he changes slides",,,,,,
